,Accuracy,Balanced Accuracy,Precision,F1,ROCAUC,CrossVal,Score,Average_Metric,Average Metric
ENS,0.6265060240963856,0.5476162974194966,0.386780905752754,0.3655104629042486,0.4602108752077166,0.6084670231729056,0.9352409638554217,0.5614760789155612,0.5614760789155612
XGB,0.6265060240963856,0.5315058479532164,0.13942307692307693,0.1611111111111111,0.4675438596491228,0.6271390374331551,0.7304216867469879,0.4690929491304366,0.4690929491304366
RF,0.6144578313253012,0.525555230111509,0.32700216450216446,0.26763124604680577,0.4361504039374987,0.60701871657754,0.9856927710843373,0.5376440519407366,0.5376440519407366
KNN,0.6144578313253012,0.5274868491498719,0.36164215686274515,0.3223504273504273,0.4776617558151346,0.6332219251336899,0.6927710843373495,0.518513147139217,0.518513147139217
MLP,0.6054216867469879,0.5416838226088236,0.36899641577060927,0.3966405037088149,0.4321723797177364,0.5874108734402852,1.0,0.5617608117133225,0.5617608117133225
LR,0.6024096385542168,0.505701754385965,0.11956521739130435,0.13095238095238096,0.4752923976608187,0.6362299465240642,0.7304216867469879,0.45722471745939114,0.4572247174593911
SVM,0.6024096385542168,0.5094956990344077,0.2323266986959506,0.2362883181441591,0.46507159054921815,0.631060606060606,0.8893072289156626,0.5094228257077458,0.5094228257077459
XGB with PCA,0.5572289156626506,0.4681813545491636,0.20714285714285713,0.21444888635065676,0.5236748747626467,0.6303475935828877,0.737198795180723,0.4768890396045122,0.47688903960451223
NB,0.5240963855421688,0.5318028149677674,0.42668144111906314,0.4237999009530695,0.4654691386361146,0.5015819964349376,0.6641566265060241,0.5053697577370208,0.5053697577370208
